SA2_Code,Population,Professionals,Prof_Density,Opp_Score,Demand_Gap,Is_Cluster,Is_Emerging
206071517,17671,15911,900.35,58.73,49.08,True,False
206061136,19119,15278,799.06,50.9,26.12,True,False
208011169,22758,13829,607.63,50.84,49.13,True,False
207011149,21232,13022,613.29,49.71,49.96,True,False
208021174,24896,13803,554.4,49.14,47.0,True,False
208041195,21923,13230,603.45,48.99,46.59,True,False
207011150,16829,11127,661.14,48.96,50.79,True,False
206071143,12781,10213,799.01,48.81,44.09,True,False
206021499,15068,10801,716.77,48.78,46.54,True,False
213021344,18753,11052,589.31,48.64,48.89,True,False
